,Pitcher,pitcherId,team,Total,Hand,Stf+ FA,Stf+ SL,Stf+ CU,Stf+ FC,Stf+ SI,Stf+ CH,Stf+ FS,Stuff+
391,R. Fagerstrom,1092691456,MER,358,R,101,106,103,,,,,103
392,K. Thomas,1092699648,SPC,151,R,91,86,,,,,,89
393,A. Russell,1092707328,SDSU,483,R,110,110,101,108,,,,108
394,L. Mercurius,1092978944,OKLA,970,R,119,94,,95,,95,,109
395,P. Riske,1092980224,UTAH,861,R,104,85,,95,98,94,,96
396,C. Mattison,1092992768,UK,576,R,103,,,99,100,110,,105
397,J. Bodin,1093038848,OKLA,452,R,102,105,,99,105,112,,105
398,L. Payne,1093095680,ECU,477,L,117,106,,,,106,,113
399,G. Cunningham,1093134336,TXAM,449,R,93,105,105,106,91,,,100
400,C. Ambrose,1093143296,SELA,42,R,96,,,,,,,96
401,J. Bowerman,1093143808,UNA,160,R,105,111,107,113,,,,108
402,S. Cash,1093144320,JVST,1048,L,108,97,,114,105,105,,106
403,E. Phillips,1093155584,STET,463,R,93,107,,103,,101,,98
404,C. Driscoll,1093159680,VMI,507,R,99,99,117,,,68,,99
405,C. Spivey,1093168896,GT,224,R,115,,98,102,,,,110
406,H. Andrews,1093169920,NCST,885,R,89,118,,111,93,96,,103
407,J. Torenero,1093453308,APU,79,L,101,112,,,,,,105
408,E. Miller,1093477206,AFA,283,R,96,99,,,,,,97
409,N. Johnson,1093490987,ALCN,278,R,83,87,,,,99,,86
410,A. Arther,1094166016,KSU,451,L,110,97,,,97,78,,102
411,J. Edwards,1094321664,USD,280,L,92,,101,98,,108,,97
412,B. Crooms,1094690048,GAST,782,R,100,83,,,95,97,,95
413,Z. Cowan,1094692352,LSU,695,R,104,98,98,,100,105,,102
414,A. Lyon,1094692864,COFC,686,R,95,85,,,95,45,,88
415,A. Ammerman,1094846408,SIU,389,R,110,96,,,,100,103,103
416,A. Mason,1095691004,GASO,724,R,90,82,97,,89,100,,93
417,C. Bagwell,1097108340,WAKE,888,R,94,111,103,108,,121,,107
418,M. Wells,1097468317,JOES,483,R,102,94,91,105,,95,,99
419,L. Spivey,1097557942,UGA,26,R,109,,,,,,,109
420,J. Yarberry,1097589504,IND,631,R,105,,121,93,,,,105
421,H. Frey,1097624540,TOL,746,L,108,97,,,113,103,,105
422,H. Lee,1097656320,SCAR,111,L,,83,,,102,,,95
423,J. Potts,1097716224,LIB,477,R,107,109,117,100,,,,106
424,J. Horton,1097769472,UNCG,504,R,87,93,93,107,,102,,93
425,G. Knight,1097804333,JVST,83,R,103,,,99,,,,101
426,C. Olsen,1097840896,CBU,355,R,111,107,,,,,,110
427,J. Nelson,1097969408,ARST,825,L,108,91,,,,111,,104
428,D. Farley,1098140160,ARST,739,L,92,85,,,,105,,95
429,J. Marchesano,1098144738,DEL,288,R,83,92,102,,101,,,93
430,B. Bergman,1098163321,BAY,410,R,117,,98,,,101,,113
431,J. Halcisak,1098297856,MSM,455,R,111,116,,95,,91,,109
432,J. Volo,1098302464,GTWN,127,R,89,83,94,,,,,88
433,J. Bean,1098310656,LOU,609,R,113,105,105,,101,105,,107
434,N. Gyauch-Quirk,1098421844,LEH,263,R,88,96,,,,99,,92
435,M. Fitzgibbon,1098905692,JOES,377,L,120,87,84,,,106,,111
436,E. White,1098932224,SEMO,153,R,93,,,,,109,,101
437,T. Baird,1098978048,MRSH,215,R,126,111,,,,,,118
438,L. Waldschmidt,1099039996,UNO,49,R,92,,,,,,,92
439,R. Riojas,1099147776,TEX,862,R,126,,108,97,,105,102,113
440,E. Darden,1099150080,TXAM,473,L,106,112,,103,101,,,106
441,N. Lawson,1099159040,WKU,366,R,98,,,103,,,99,99
442,A. Enyart,1099165184,SAC,114,R,105,,,,111,88,,103
443,G. Colasante,1099183873,HARV,721,R,96,110,99,,100,97,,101
444,J. Lanzer,1099197184,SC,116,L,96,,72,,,,,88
445,T. Brooks,1099197696,UNCA,90,R,86,96,,,,,,90
446,G. Van Kempen,1099204864,ECU,428,R,114,121,,105,,119,,115
447,S. Parnell,1099226624,NKU,156,R,112,98,,,114,,,108
448,R. Donley,1099289344,OAK,179,L,105,,,,,,,105
449,B. Toney,1099336704,GC,205,R,106,,97,105,,,,105
450,C. Carlin,1099394304,MONM,246,L,94,95,,,,93,,94
451,T. Ware,1099398656,OAK,546,L,91,86,98,,72,105,,93
452,H. Tarsia,1099400192,BING,571,R,99,117,108,,99,122,,109
453,J. Ross,1099416832,AKR,361,R,98,88,,98,,91,,97
454,S. Harris,1099495168,JKST,33,R,86,,,,,,,86
455,G. Lyons,1099527276,TXAM,923,R,111,85,,111,90,88,,98
456,C. Capomaccio,1099567104,MINN,195,R,95,105,,,100,105,,101
457,A. Scarpino,1099578468,EKY,94,R,97,104,,,,,,99
458,J. Whitney,1099593216,SAM,368,L,114,98,,,,,,110
459,M. Sapienza,1099645440,NE,474,R,98,91,,,,86,,94
460,E. Holbert,1099721728,VCU,762,R,102,109,,,108,99,,106
461,J. Peissel,1099724544,NCST,119,R,106,,,,,,,106
462,H. Holcombe,1099789056,COR,820,L,101,102,97,,96,107,,100
463,T. Spadaccini,1099789824,YALE,291,R,94,111,,,,,,101
464,B. Cherico,1099809792,SLU,987,R,102,103,99,105,,112,,103
465,H. Wilson,1099822080,WIN,519,R,101,105,105,99,,92,,101
466,M. Haug,1099828480,GW,1096,R,93,98,,97,,105,,96
467,J. Kinsler,1099861760,JMU,627,L,113,101,,,,100,,108
468,A. Castelluccio,1099870208,MAN,72,R,85,86,,,,,,86
469,K. Chase,1099877376,SJU,273,R,97,87,,99,91,96,,95
470,D. Banner,1099879680,ALBY,427,R,102,83,95,,,81,,96
471,B. Wingenroth,1099881216,MASS,148,R,94,96,,99,,,,96
472,A. Jankowski,1099890432,LIU,86,R,107,101,,,,,,104
473,J. Evans,1099891712,PUR,585,L,102,95,104,102,98,110,,103
474,M. Sargeant,1099916800,NDSU,93,R,,98,,,,,,98
475,B. Beranek,1099928064,MTU,513,R,97,102,107,,,92,,98
476,W. Saxenmeyer,1099963648,SHU,112,R,91,84,,,,,,88
477,R. DiGiacomo,1100021760,DUKE,369,R,99,105,95,100,,,,98
478,D. James,1100074752,SBON,530,R,102,106,105,107,,94,,103
479,H. Polk,1100092160,HP,58,R,109,,,,,,,109
480,M. Canizares,1100097536,STON,237,R,93,106,103,,,101,,98
481,C. Van Slooten,1100097792,CIT,283,R,97,109,,,,,,100
482,A. Jergins,1100098048,GTWN,38,L,103,,,,,,,103
483,C. Johnson,1100107777,OKLA,921,L,108,104,,,120,106,,115
484,B. Corley,1100108032,ULM,1004,L,103,106,93,109,86,98,,103
485,B. Barlow,1100116736,FLA,287,R,100,113,,112,99,,,106
486,D. Brady,1100143616,DSU,31,R,90,,,,,,,90
487,M. Lane,1100144128,DSU,36,R,94,,,,,,,94
488,P. Schmitz,1100149248,HOU,897,R,106,108,119,106,,109,,108
489,J. Martin,1100187904,LIP,240,L,,,,,115,,,115
490,J. Abbadessa,1100189696,TULN,549,R,93,98,,,96,96,,96
491,Q. Pohorski,1100272640,SF,507,R,100,109,,102,,113,,102
492,T. Phetluangsy,1100332252,TAR,288,R,107,,,97,,,98,103
493,Z. Erdman,1100384768,PUR,881,L,89,96,90,86,97,102,,95
494,K. Wemer,1100433254,YSU,272,R,96,90,,,,,,94
495,T. Charlton,1100455936,MOSU,513,L,105,84,94,,,90,,98
496,J. Boynar,1100470742,UNA,451,R,104,85,,,,,,101
497,T. Beard,1100603904,FSU,993,L,113,41,114,,,106,83,99
498,M. Pilarski,1100629728,WMU,26,R,86,,,,,,,86
499,T. Szczepanski,1100638208,MSU,590,R,95,121,,,98,,,111
500,A. Colagrande,1100662784,STON,301,L,107,99,,,,101,,103
501,R. Morrison,1100708608,WICH,126,R,109,98,,,,,,103
502,C. Marshburn,1100716032,UNCW,732,R,104,125,,105,108,109,,108
503,D. Iverson,1100735744,NEOM,246,L,112,74,,,,86,,101
504,A. Llinas,1100779776,LIP,899,L,102,94,91,98,98,81,,95
505,A. Weaver,1100788992,DUKE,1104,R,111,112,,80,,112,,110
506,B. Wooldridge,1100789760,UCD,388,L,100,102,104,,,91,,99
507,P. Craig,1100792576,RID,395,R,110,113,,92,,93,,108
508,L. Guth,1100855808,VAN,536,R,103,107,98,107,,,,105
509,D. Budd,1100870656,WCU,311,R,100,91,,94,100,97,,97
510,C. Fennell,1100871680,VAN,1241,R,107,67,63,59,114,107,,99
511,L. Scruggs,1100914380,UNA,241,R,85,99,,100,,,,94
512,A. Dowd,1100939520,FOR,625,R,86,103,94,100,,97,,95
513,A. Jones,1101042688,URI,262,R,110,104,109,103,,,,108
514,J. Miller,1101382656,WASH,114,R,105,,,,,118,,112
515,A. Stockham,1101427712,EKY,351,L,108,105,,,106,97,,106
516,C. Little,1101444352,NKU,259,R,114,105,,,,98,,109
517,M. Quedens,1101777431,MICH,186,L,99,,,,,108,,105
518,B. Hill,1101830144,UNO,95,R,91,100,,,,,,95
519,I. Lohse,1102217728,MIZZ,252,L,107,114,,106,,,,109
520,J. Miller,1103306172,BGSU,330,L,121,92,,,,96,,111
521,A. Bassett,1103404578,TAR,417,L,110,99,,,,92,,105
522,C. Strout,1103661688,FDU,27,L,101,,,,,,,101
523,C. Sweeney,1104019214,LMU,390,L,91,110,,108,90,101,,97
524,C. Hawkins,1104565248,SLU,299,L,89,101,,,,94,,95
525,K. Jacobi,1104572672,IND,284,R,101,100,,104,105,,,103
526,L. Nichols,1104573440,LT,635,L,95,98,,,75,,,86
527,A. Valdez,1105124420,SF,569,R,94,104,,89,94,104,,97
528,C. Ballard,1105265408,GT,542,R,98,111,,110,100,96,,105
529,D. Oborne,1105277184,FAU,67,R,102,,,,,,,102
530,B. Bendik,1105311232,NAVY,1094,R,93,88,94,104,,,,93
531,M. Paplanus,1105325955,WRST,373,R,104,110,96,,,100,,104
532,E. Shaub,1105344512,DEL,170,L,95,85,,,,105,,96
533,C. McNeely,1105345792,WIN,475,R,104,89,,,,,,98
534,R. Jeske,1105370112,TOWS,578,R,104,93,,108,,109,,103
535,M. Hilsenroth,1105374976,UONH,74,R,93,,,,104,,,97
536,Z. Endres,1105377280,UOST,70,R,89,99,,,,,,93
537,B. Walker,1105386752,STET,245,R,104,,,100,,98,,102
538,J. Manarchuck,1105388800,MSM,312,R,104,106,,,,,,105
539,R. Norman,1105483008,CCAR,901,R,105,111,,106,,103,,107
540,J. Gunther,1105491456,SCAR,632,R,119,,98,101,,96,,109
541,D. Munn,1105517312,CHAR,656,R,106,95,,102,,97,,103
542,O. Sarna,1105525504,ALA,71,R,102,,,,,,,102
543,J. Okonkwo,1105789865,ODU,504,R,101,91,,92,101,,,98
544,A. Evans,1106298624,SIU,1238,R,107,105,107,106,,112,,107
545,J. Vicens,1106625887,GT,125,R,108,102,,,106,64,,96
546,F. DiGiacomo,1106676224,VCU,257,R,106,100,98,,,106,,104
547,M. Molina,1106714880,AMCC,166,R,110,101,,,,,,107
548,C. Roberts,1106733824,GAST,883,R,107,95,,94,,93,,101
549,T. Davis,1107041852,BRY,491,R,100,97,,99,99,,,99
550,G. Wentz,1107195136,NKU,166,R,87,99,,,,,,94
551,C. Higgins,1107495936,TEX,207,L,,103,,102,124,92,,110
552,R. Gilchrist,1107814725,CONN,110,R,95,100,,,100,,,98
553,J. Kossow,1108461989,IONA,39,R,103,,,,,,,103
554,K. Cortner,1108472064,NKU,87,L,83,,100,,,,,89
555,M. Skilbeck,1108579328,UOST,306,R,103,91,94,99,,,,100
556,A. Chronister,1108754944,XAV,736,L,93,109,,,108,102,,104
557,J. Deacon,1108852059,CIT,218,R,94,109,113,,,,,102
558,T. Jordan,1108902033,UALR,164,R,89,96,,,,109,,95
559,B. Dotoli,1108948224,SCU,235,R,97,,,,,103,,100
560,C. Johnson,1109058099,ORU,641,R,99,99,91,,,113,,102
561,C. Alderman,1109516801,UK,227,R,103,97,,101,92,,,100
562,B. Baxter,1109517057,AAMU,64,R,86,,,,,,,86
563,P. Chaudoin,1109518336,MURR,119,R,99,,95,,,107,,100
564,G. Faulkner,1109518848,EKY,458,L,101,112,,,,,,106
565,H. Smith,1109521152,TROY,524,L,101,89,101,,,92,,99
566,G. Haley,1109526272,UALR,469,R,92,98,98,,,95,,95
567,E. Harris,1109774336,SIUE,275,R,113,,101,96,,,,106
568,A. Couture,1109792512,MONM,1155,R,94,90,89,103,92,93,102,95
569,B. Booth,1109938083,MSST,26,R,111,,,,,,,111
570,J. Beaty,1110071296,APP,215,L,98,100,,,,96,,98
571,S. Garner,1110073856,MEM,895,R,89,102,,,92,113,,99
572,M. Murdock,1110075648,UNCW,43,R,,,,,100,,,100
573,P. Smith,1110085632,VT,93,R,101,,,65,,,,89
574,S. Carey,1110393088,SAC,556,L,113,118,,,101,86,,109
575,J. Guerrero,1110394368,GC,765,R,101,,,108,,101,,103
576,Z. Malvasio,1110401241,UCF,57,R,105,,,,,,,105
577,S. Okeeffe,1110852864,GMU,96,L,84,97,,,,,,90
578,B. LaPalm,1110853120,DUKE,297,L,124,114,,,,,,121
579,J. Sabbath,1110853376,URI,768,R,106,110,99,,,96,,106
580,A. Knipper,1110878464,DBU,280,R,111,,,119,,,,114
581,T. Williford,1111094208,UNCW,843,L,120,110,106,,,99,,114
582,R. Miller,1111193876,UAB,586,R,99,102,,,,,,100
583,L. Marchetti,1111299840,SJSU,259,L,96,84,93,,,,,93
584,D. Koenen,1111334657,UVA,95,R,97,,,108,,,,100
585,R. Pugh,1111407333,DEL,558,R,104,,104,103,,104,,104
586,N. Moran,1111442432,ECU,221,L,102,101,,94,,118,,102
587,T. Rutledge,1111974459,AFA,448,R,90,106,104,104,,,,97
588,E. Bridenthal,1112569344,XAV,131,R,99,102,100,,,,,100
589,G. Hernandez,1112932352,CSN,775,R,87,95,,95,80,106,,92
590,C. Allen,1112939776,UNCW,719,R,102,109,93,102,89,,,101
591,C. Scheider,1112995896,BRAD,636,R,92,95,,,93,96,,94
592,E. Cornelius,1113146413,MASSL,40,R,93,,,,,,,93
593,D. Hitt,1113336576,HP,235,L,95,103,,107,,82,,100
594,J. Breen,1113371580,DSU,67,L,82,,,,,,,82
595,N. Criswell,1113410989,TROY,86,R,91,100,,,,,,95
596,G. Maya,1113624064,PEPP,201,L,91,111,,,103,86,,102
597,D. Medley,1114019716,COFC,143,R,99,,,,,96,,98
598,Z. Alarid,1114247144,SHSU,170,R,89,93,,,90,,,91
599,T. Wilkie,1114317871,SBON,34,L,84,,,,,,,84
600,J. Toporek,1114455808,TULN,613,L,109,80,,,109,89,,99
601,N. Sawyer,1114716903,OSU,253,R,,98,,,86,,,92
602,H. Bell,1115370173,SC,126,L,88,83,,,,,,86
603,N. Leininger,1115419136,TOL,795,R,103,116,,106,120,101,,111
604,J. Bergman,1115419904,IND,132,R,112,118,,,112,,,115
605,B. Blanton,1115626496,EKY,165,R,91,105,,,,,,100
606,N. Boyle,1116080384,XAV,177,R,109,107,,93,,,,101
607,C. Howard,1116162816,TEX,154,R,128,115,,83,,,,117
608,E. Sutton,1116224768,USF,620,R,113,88,,,,98,,105
609,J. Carey,1116254720,HP,377,L,81,74,,,72,104,,86
610,A. Solis,1116314624,HOU,437,R,102,101,,97,117,105,99,104
611,J. Kennedy,1116990899,SIND,41,L,112,,,,,,,112
612,L. Howe,1117010251,LBSU,852,R,98,100,,,106,112,,102
613,A. Ortiz,1117508864,NCAT,255,R,88,77,,,,91,,86
614,E. Lewis,1117675264,DEL,217,R,96,,,,99,,91,97
615,T. Ates,1118006016,ARMY,718,R,95,90,93,83,,,,92
616,B. Bickett,1118239555,CHSO,553,L,90,95,,,,,,92
617,G. Deutsch,1118604765,MVSU,111,R,98,98,,,,,,98
618,R. James,1118665296,EVAN,106,R,91,98,,,,,,95
619,J. Elizondo,1119214592,TAR,359,L,103,,106,109,,,,105
620,Q. McManmon,1119340032,FIU,175,R,109,,109,,,,,109
621,L. Cespedes,1119577088,MRMK,32,R,83,,,,,,,83
622,M. Gass,1119755093,OHIO,572,R,83,90,,,95,97,,90
623,H. Carvalho,1120443926,ORE,51,R,116,,,,,,,116
624,D. Kane,1120722944,RID,175,R,83,,,,,93,,88
625,E. Sanchez Jr,1120767715,COPP,35,L,88,,,,,,,88
626,L. Kenny,1120804043,UOWG,693,R,100,104,,107,,111,117,105
627,K. Howell,1121059072,SELA,410,R,,,79,,105,104,93,99
628,P. Lemke,1121337749,DUKE,888,R,108,103,89,94,99,94,,101
629,D. Harlow,1121440512,MRSH,1177,R,114,94,95,102,,91,,105
630,O. Boone,1121598208,UK,213,R,107,98,,,99,,,101
631,E. Rogalski,1121963008,SAC,241,R,95,94,,,,,,95
632,J. Castrichini,1122520320,LONG,391,R,97,113,,109,,,,104
633,P. Friedman,1122592000,ME,411,R,97,103,,104,,,,101
634,E. Pillsbury,1122617224,JVST,1004,L,108,113,100,,,106,,109
635,J. Mawhinney,1122751885,UVU,172,R,97,100,,,97,,,98
636,S. Schlecht,1123311360,SDST,337,R,87,94,93,,,112,,96
637,D. Bjorn,1123335638,MIZZ,293,L,97,,97,,,112,,99
638,E. Swaby,1123844485,NDSU,104,R,91,90,,,,,,91
639,M. Winter,1123906738,TEX,160,R,,111,111,108,115,,,111
640,B. Banker,1123935744,INST,143,L,,79,,,,90,,88
641,A. Buczkowski,1123936875,CIN,595,R,81,146,,91,,,,118
642,S. Curtin,1123945728,CREI,323,L,89,101,95,,,90,,92
643,A. Alberico,1123946496,KENT,141,R,99,,92,,,,,96
644,G. Seebold,1123951104,IND,702,R,113,108,102,105,,110,,111
645,C. McMichael,1123952384,BU,35,R,85,,,,,,,85
646,L. Leverton,1123953920,BRAD,108,R,84,,,,,105,,98
647,D. Blake,1123959040,OKST,199,L,105,119,,98,,,,105
648,C. Liggett,1123959296,KSU,27,R,110,,,,,,,110
649,B. Bak,1123967488,UIC,969,L,89,96,98,117,,103,,95
650,C. Robinson,1123980800,WRST,174,R,106,114,,,,,,109
651,A. Tubbs,1124298240,ULM,399,L,90,105,106,,,,,97
652,D. Talavs,1124898560,SDSU,833,R,104,116,118,,,117,,112
653,C. Oxborrow,1125075291,CHAR,404,L,112,102,,,,90,,103
654,E. Atchley,1125083442,RICE,454,R,99,104,,,95,,,100
655,R. Velasquez,1125103104,VMI,749,R,85,95,,,94,83,,89
656,S. Fairhurst,1125137108,LEH,560,R,94,93,,,94,102,,95
657,F. Sanchez,1125302528,PSU,345,R,94,92,,,96,93,,94
658,N. Albano,1125309965,CAN,148,R,87,88,,,,,,87
659,O. Tahnk,1125572052,HARV,74,R,92,81,,,,,,88
660,B. Hsu,1126083840,GMU,405,R,109,94,91,,,84,,100
661,P. Bradley-Cooney,1126148096,MIA,324,R,114,123,,,,,,119
662,I. Korn,1126188061,WVU,668,R,92,114,98,106,106,,,106
663,R. New,1126254865,BU,107,R,125,94,,,,,,117
664,J. Gomberg,1126277376,UNLV,295,L,108,115,126,,,,,112
665,F. Menendez,1126278144,MIA,125,L,109,,113,,,,,110
666,J. Fredericks,1126280449,MD,70,L,,99,,,98,,,99
667,T. Evans,1126303232,YALE,954,R,90,92,,,94,118,,102
668,M. Grubbs,1126305792,TEX,381,R,,113,108,112,97,,,108
669,S. Connell,1126443689,TXST,219,R,104,115,,,,,,110
670,J. Lajoie,1126611968,QUIN,144,R,98,96,,,,,,97
671,M. Dews,1126688512,ALCN,165,R,89,79,,,,92,,88
672,W. Hartzell,1126774784,WRST,157,R,114,125,122,98,,,,114
673,M. Rheaume,1126785024,HCU,153,R,93,95,,97,,,,95
674,J. Marshall,1126848000,UTU,99,R,99,,,,113,,,104
675,L. Piper,1127066368,USD,399,L,116,91,106,,,106,,112
676,H. Melville,1127908043,UTA,428,R,113,101,,,,,,111
677,C. Udland,1128007057,HOU,500,R,94,,120,,98,123,,110
678,D. Whitney,1128102459,ORST,770,R,119,127,120,,,112,,119
679,C. Mick,1128108809,NEOM,49,L,96,,,,,,,96
680,C. Collina,1128123648,WAG,152,R,96,,,,,77,,92
681,D. Wywoda,1128450012,GW,835,R,98,85,94,96,,100,,96
682,E. Higginbottom,1128488986,GC,293,R,95,,,104,,84,,96
683,C. Wylde,1128523264,NMSU,865,L,92,86,,,,99,,92
684,L. Darnell,1128813223,MVSU,260,R,83,78,,,,101,,86
685,S. Pruitt,1129332403,ULL,1094,R,100,106,105,,,104,,102
686,N. Higgins,1129425152,MSU,681,R,113,109,110,,,,,112
687,G. DeVooght,1129426432,MICH,506,R,93,114,,106,98,,,105
688,G. Garman,1129687636,HAW,112,L,112,110,,,,,,111
689,R. Renfroe,1129736704,KENN,293,R,107,,,91,,105,,102
690,C. Freshcorn,1129933981,TXAM,539,R,116,120,,97,,77,,110
691,T. Riordan,1129984256,NJIT,204,R,96,99,,,,,,97
692,J. Torres,1129984768,MD,65,R,114,,,,,,,114
693,A. Cotten,1130107904,ETSU,245,R,93,,,99,,,,97
694,B. Gluth,1130331137,NDSU,333,R,85,88,,,94,106,,89
695,O. Espinoza,1130599867,CAL,651,R,108,104,115,,,,,107
696,R. Haider,1130936576,WSU,280,R,108,82,,,101,,,101
697,C. Ubner,1131143680,MRST,73,R,106,,,,,,,106
698,C. White,1131293697,CAMP,292,R,100,103,,85,,,,97
699,B. Wilcenski,1131316480,TULN,597,R,98,99,,,,95,,98
700,C. Schiff,1131469312,BRY,366,L,96,99,,93,,,,95
701,B. Sanders,1131564544,MEM,327,R,116,,97,,,,,111
702,D. Frize,1131573248,USD,732,R,101,98,103,,,105,,102
703,M. West,1131765458,KU,429,R,105,113,,111,,110,,111
704,Z. Busick,1132019969,UALR,540,R,106,103,101,,,,,105
705,P. Soske,1132023041,CLMB,279,R,95,116,,,102,,,108
706,J. Buckner,1132029954,AMCC,46,R,99,,,,,,,99
707,L. Koenig,1132035328,MISS,365,R,110,108,,,,,100,108
708,A. Boice,1132268217,UMBC,365,R,99,87,92,,,101,,95
709,J. Silverstein,1132365966,HP,250,R,113,101,,,,,,112
710,P. Warner,1132480961,STAN,621,R,102,,99,,115,124,,109
711,L. Ross,1132717312,M-OH,28,L,91,,,,,,,91
712,A. Jungers,1132718080,LU,615,L,96,94,,,97,98,,96
713,L. Price,1132730368,OHIO,292,L,82,92,,110,,,,89
714,C. Ingram,1132735744,UAB,947,R,91,96,99,93,,100,,94
715,C. Olivier,1132957952,LAM,1060,R,105,109,106,,95,100,,105
716,L. Moser,1133005824,UNCO,145,R,94,87,,,,,,92
717,C. Mattioli,1133212928,FDU,46,R,95,,,,,,,95
718,B. Seiber,1133249792,VAN,554,R,,87,,107,108,,,106
719,H. Konkler,1133497856,ALCN,141,R,79,85,,,,,,82
720,A. Lepine,1133758727,STET,363,R,95,108,,,77,,,89
721,H. Frost,1133867650,VALP,178,R,87,85,,99,,95,,90
722,J. Luccioni,1133873905,TXSO,50,R,99,,,,,,,99
723,B. Hicks,1134054400,CLMB,400,R,97,93,,,,104,100,98
724,S. Simmons,1134101548,UTSA,849,R,93,91,107,,106,99,,100
725,W. Allen,1134277072,USF,307,R,96,97,,,,93,,96
726,T. Helmick,1134423040,LAF,770,R,96,104,,107,99,101,,101
727,M. Marroquin Jr.,1134822500,PRE,398,R,98,108,97,,,,,102
728,C. Riel,1134899651,MILW,213,R,105,86,93,,,,,99
729,M. Gajowski,1135476858,ALBY,129,L,94,96,,,,,,94
730,T. Guerin,1135481951,IOWA,774,R,103,107,,98,108,109,,107
731,P. Ward,1135492608,FAU,178,R,99,99,,,,,,99
732,J. Martinez,1135887872,UCRV,215,L,104,97,,,95,96,,98
733,G. Hanson,1135889920,NKU,146,L,97,,102,,,100,,99
734,J. Guyette,1135897600,KSU,1167,R,103,116,,97,111,121,,111
735,C. Walter,1136424971,TAR,56,R,88,,,,,,,88
736,T. Brachbill,1136816896,HP,1033,R,104,111,97,98,,99,,106
737,R. Lettow,1136834816,SDSU,910,R,111,99,91,98,,110,,104
738,W. Perkins,1136957440,DAV,919,R,95,100,93,108,,99,,97
739,M. Flores,1137437184,KSU,304,R,98,107,98,,,,,100
740,E. Hurlburt,1137599744,AAMU,64,R,95,,,,,87,,92
741,D. Thompson,1138084352,TXSO,56,R,101,,,,,,,101
742,C. Aoki,1138165504,UGA,1013,R,88,109,110,,93,113,,106
743,E. Barrett,1138275443,ASU,322,L,107,108,102,,,86,,104
744,B. Lewis,1138515201,BRY,121,L,99,105,,,,,,102
745,B. Roundy,1138762873,UTU,542,L,110,93,98,122,,84,,104
746,N. Marshall,1138818015,EIU,127,R,103,106,,,,,,104
747,J. Ramos,1138907650,NMSU,258,R,110,92,,,,90,,103
748,Z. Potts,1139081984,WM,334,R,98,100,,,,93,,98
749,T. ONeil,1139086832,SIND,201,R,98,108,97,,,96,,100
750,M. Meckna,1139226715,ORE,313,R,91,111,,,90,109,,101
751,J. Pimental,1139297024,MIZZ,410,L,109,102,,,101,96,,104
752,J. Raab,1139725824,GTWN,361,R,129,104,,,,100,105,121
753,B. Holland,1139728640,JAC,383,L,99,93,110,,,,,100
754,A. Kroll,1139850165,DBU,523,R,100,107,106,,,,,103
755,A. Moss,1139881472,INST,155,R,107,95,,,,,,101
756,K. Arn,1139884800,BGSU,210,R,110,78,,,110,95,,101
757,J. Adelmann,1139900160,BUCK,392,R,101,118,,116,,,,115
758,B. Brooks,1139902720,UOWG,27,R,,87,,,,,,87
759,R. Ashford,1139905218,ARST,383,L,111,81,,,,,,97
760,T. Butler,1139929012,KSU,701,R,102,117,112,,,,,108
761,M. Donnison,1139955456,ILST,30,R,102,,,,,,,102
762,J. Willitts,1140102400,NJIT,253,R,106,106,,,104,88,,101
763,J. Montgomery,1140307574,NIAG,125,R,80,,,,,,,80
764,H. Allred,1140532638,ALCN,30,R,79,,,,,,,79
765,S. Lippman,1140620764,FGCU,522,R,112,106,98,,,,,110
766,N. Todd,1141025280,GAST,245,L,107,99,,,104,,,104
767,T. Grack,1141034752,UCI,340,R,112,108,,,,,,111
768,W. Humphrey,1141192704,WIU,201,R,97,104,,,,112,,102
769,A. Plisinski,1141228721,PEPP,329,R,94,99,,,,,,96
770,R. Ojeda,1142126848,UCI,661,L,119,81,96,,,98,,112
771,J. Downing,1142128640,HALL,33,L,123,,,,,,,123
772,C. Downs,1142128896,CP,743,L,103,106,,,,108,,105
773,K. Sivley,1142659328,USM,609,L,95,108,,,102,68,,99
774,R. Evans,1142672896,MIA,1143,L,,104,,,89,88,,93
775,T. Shurtleff,1142704384,PENN,641,R,104,118,,95,107,,,107
776,J. Noot,1142711296,LSU,124,R,95,,,,108,,121,109
777,K. Thomas,1142736128,STAN,411,R,97,,,87,100,,,92
778,I. Anderson,1142893056,SIND,136,R,98,116,,,99,,,103
779,J. DeCastro,1142967552,LIU,277,R,95,80,,,,111,,97
780,L. Peterson,1142994176,FLA,1299,R,125,127,112,120,,103,,121
781,Z. Lyles,1142998272,WKU,530,L,112,108,,89,,89,88,105
782,B. Lofgren,1143001856,MIA,228,R,81,102,,,84,107,,97
783,H. Estes,1143005440,NJIT,53,R,90,,,,,,,90
784,L. Lavigueur,1143021056,URI,263,R,92,105,,,,,,98
785,G. Gambradella,1143021312,ME,493,R,91,99,,106,97,117,,99
786,K. Sosnowski,1143038976,UCF,324,R,101,,100,101,99,95,,100
787,T. Moore,1143046656,STAN,635,R,108,109,102,97,,106,,106
788,C. Turnquist,1143047168,CP,1035,R,125,99,97,93,,96,,117
789,H. Stewart,1143048192,SCU,102,L,90,,,,,95,,91
790,D. Schaefer,1143063040,ASU,406,R,109,115,98,96,,,,106
791,J. Brafa,1143074304,TULN,541,R,95,93,,,102,103,,96
792,D. Oak,1143099904,BU,363,R,98,84,,,84,91,,92
793,J. Rodgers,1143103744,WIU,136,R,95,,,,,97,106,98
