,Pitcher,pitcherId,team,Total,Hand,Stf+ FA,Stf+ SL,Stf+ CU,Stf+ FC,Stf+ SI,Stf+ CH,Stf+ FS,Stuff+
194,M. Russell,1058409976,TOWS,186,R,98,109,,,92,,,102
195,S. Jenkins,1058441697,ECU,505,R,105,114,,110,104,,,110
196,M. Champion,1059932325,LMU,143,R,95,,83,,,113,,94
197,N. Schlote,1060156122,VAN,342,R,109,117,,113,,,,112
198,I. Austin,1060167904,UK,203,R,110,112,,,116,,,113
199,A. Dupuy,1060247839,UAB,36,R,97,,,,,,,97
200,J. Dobie,1060614616,NEV,239,R,89,103,100,,,97,,97
201,R. Kortum,1061028570,WICH,654,L,94,104,,100,86,82,,96
202,W. Walton,1062087691,HP,883,R,108,95,,,102,104,,104
203,L. Shaffer,1062168365,SELA,262,R,100,88,,,,101,,99
204,C. Matthews,1062258319,ALST,536,R,97,88,63,,,,,94
205,J. Touhey,1062263056,UNA,347,R,92,93,,,92,95,,93
206,W. Sparks,1062976670,USA,33,R,111,,,,,,,111
207,A. Steeves,1064695365,STAN,156,L,103,101,,,,,,102
208,M. Harsch,1065101304,WAKE,452,R,102,,104,104,139,,,108
209,M. LaBuda,1065517744,DAY,306,L,96,93,,,,105,,96
210,A. Laine,1065548722,LMU,884,R,94,100,,101,,107,,100
211,B. Godina,1065579807,UCRV,122,R,102,99,,,,,,101
212,C. Wolf,1065730840,WKU,171,R,90,,91,,89,96,,91
213,L. Williams,1066102129,ORU,315,L,106,98,,,,89,,102
214,W. Elkovitch,1066221220,CAN,120,L,86,94,,,,,,91
215,C. Novak,1067730279,M-OH,191,R,88,104,97,,,98,,94
216,P. Fowler,1067798811,MSST,87,R,113,,,,,,,113
217,T. Steed,1068483020,STET,50,R,94,,,,,,,94
218,C. Boudreaux,1068930659,BGSU,215,R,109,,86,,,,,104
219,J. Lanum,1069364089,UOWG,210,R,101,89,90,,,,,96
220,G. Blanchard,1069469604,MCNS,454,R,89,95,,,95,105,,97
221,C. Kickhaefer,1069509956,SEMO,434,R,90,,,,,124,,112
222,B. Waterman,1069638747,LAF,570,R,94,99,,,99,101,,96
223,L. Singleton,1069718802,AMCC,173,L,90,104,,,,107,,99
224,J. Yeager,1069820504,MD,631,R,105,106,,101,99,118,,106
225,E. Lott,1070291037,ARPB,97,R,80,87,,,,,,83
226,T. Fellings,1070351590,PUR,42,L,97,,,,,,,97
227,S. Bolivar,1071261663,CSB,224,R,99,84,,,,,,96
228,M. Tompkins,1071855606,WIN,589,R,87,95,90,,,87,,90
229,D. Biggs,1071925936,MER,88,R,90,,106,,,,,96
230,O. Thomson,1072184148,OAK,183,L,99,105,,,,103,,101
231,D. McCalla,1072439589,UTM,333,R,98,100,100,,,100,,99
232,E. Woltz,1072470910,UNM,240,R,90,102,,107,92,,,96
233,G. Wright,1073170921,UTM,68,R,109,,,,,,,109
234,T. Bradley,1073676408,ORE,598,R,,108,,,108,117,,111
235,B. Sampson,1073872248,TULN,313,L,122,107,96,,,108,,113
236,S. Williams,1074065152,LIB,39,L,111,,,,,,,111
237,H. Manning,1074231157,UCI,343,R,118,112,106,,,,,115
238,R. Birkholz,1075199744,ND,63,R,120,,,98,,,,110
239,L. Sheffield,1075848055,KSU,991,L,86,112,,,102,98,,100
240,P. Morris,1075850752,ARIZ,614,L,109,104,,,,90,,106
241,M. Benzor,1076089088,DBU,360,L,99,121,,,,,,114
242,S. Kretsch,1076111580,SMC,631,R,102,107,,,108,93,,103
243,J. Banuelos,1076794969,CSN,115,L,89,,,,,123,,100
244,J. Carvajal,1077014784,NMSU,514,R,93,109,112,,,95,,99
245,C. Cavalcante,1077170052,ODU,294,R,99,96,,96,,,,98
246,B. Dockan,1077270893,CSF,329,L,90,99,96,,,109,,97
247,E. Smith,1077565952,MD,538,L,115,99,,,112,94,,106
248,D. Johnson,1077602816,SJU,288,R,89,101,,,97,,,96
249,T. Kassebaum,1077963520,LIU,195,L,95,103,,,,,,100
250,P. Lacy,1077974272,NICH,448,R,98,103,,,95,95,,99
251,J. Katz,1077994240,PENN,431,R,100,97,,,98,94,,98
252,B. Zilis,1078287019,ILST,344,R,102,100,99,,101,,,101
253,J. Kwiatkowski,1078298112,BC,284,L,96,107,,,117,,,105
254,N. Gregson,1078833152,UCSD,1030,R,112,101,97,,,,,106
255,J. Dimino,1078910874,UNF,182,L,101,127,,,,,,111
